"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Residence State","Residence State Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
,"Other bacterial diseases","A30-A49","2021","2021","Alabama","01",5623,5039877,111.6,108.7,114.5,89.3,87.0,91.8
,"Other bacterial diseases","A30-A49","2021","2021","Alaska","02",333,732673,45.5,40.6,50.3,50.7,45.1,56.8
,"Other bacterial diseases","A30-A49","2021","2021","Arizona","04",3648,7276316,50.1,48.5,51.8,40.1,38.8,41.5
,"Other bacterial diseases","A30-A49","2021","2021","Arkansas","05",3223,3025891,106.5,102.8,110.2,86.6,83.5,89.7
,"Other bacterial diseases","A30-A49","2021","2021","California","06",29757,39237836,75.8,75.0,76.7,66.7,65.9,67.5
,"Other bacterial diseases","A30-A49","2021","2021","Colorado","08",3365,5812069,57.9,55.9,59.9,53.8,52.0,55.7
,"Other bacterial diseases","A30-A49","2021","2021","Connecticut","09",2602,3605597,72.2,69.4,74.9,53.9,51.8,56.1
,"Other bacterial diseases","A30-A49","2021","2021","Delaware","10",749,1003384,74.6,69.3,80.0,54.5,50.5,58.8
,"Other bacterial diseases","A30-A49","2021","2021","District of Columbia","11",532,670050,79.4,72.7,86.1,79.4,72.7,86.6
,"Other bacterial diseases","A30-A49","2021","2021","Florida","12",20457,21781128,93.9,92.6,95.2,64.0,63.1,64.9
,"Other bacterial diseases","A30-A49","2021","2021","Georgia","13",9781,10799566,90.6,88.8,92.4,83.4,81.7,85.1
,"Other bacterial diseases","A30-A49","2021","2021","Hawaii","15",646,1441553,44.8,41.4,48.3,32.8,30.2,35.5
,"Other bacterial diseases","A30-A49","2021","2021","Idaho","16",1054,1900923,55.4,52.1,58.8,49.3,46.3,52.4
,"Other bacterial diseases","A30-A49","2021","2021","Illinois","17",8687,12671469,68.6,67.1,70.0,56.2,55.0,57.4
,"Other bacterial diseases","A30-A49","2021","2021","Indiana","18",5794,6805985,85.1,82.9,87.3,71.5,69.6,73.4
,"Other bacterial diseases","A30-A49","2021","2021","Iowa","19",1978,3193079,61.9,59.2,64.7,48.5,46.3,50.7
,"Other bacterial diseases","A30-A49","2021","2021","Kansas","20",2293,2934582,78.1,74.9,81.3,65.0,62.3,67.8
,"Other bacterial diseases","A30-A49","2021","2021","Kentucky","21",6207,4509394,137.6,134.2,141.1,113.1,110.2,116.0
,"Other bacterial diseases","A30-A49","2021","2021","Louisiana","22",4230,4624047,91.5,88.7,94.2,77.6,75.2,80.0
,"Other bacterial diseases","A30-A49","2021","2021","Maine","23",306,1372247,22.3,19.8,24.8,15.9,14.1,17.9
,"Other bacterial diseases","A30-A49","2021","2021","Maryland","24",4598,6165129,74.6,72.4,76.7,62.1,60.2,63.9
,"Other bacterial diseases","A30-A49","2021","2021","Massachusetts","25",4520,6984723,64.7,62.8,66.6,50.5,49.1,52.1
,"Other bacterial diseases","A30-A49","2021","2021","Michigan","26",8008,10050811,79.7,77.9,81.4,61.9,60.5,63.3
,"Other bacterial diseases","A30-A49","2021","2021","Minnesota","27",3164,5707390,55.4,53.5,57.4,45.2,43.7,46.9
,"Other bacterial diseases","A30-A49","2021","2021","Mississippi","28",3429,2949965,116.2,112.3,120.1,97.4,94.1,100.8
,"Other bacterial diseases","A30-A49","2021","2021","Missouri","29",4694,6168187,76.1,73.9,78.3,60.0,58.3,61.8
,"Other bacterial diseases","A30-A49","2021","2021","Montana","30",807,1104271,73.1,68.0,78.1,55.6,51.7,59.8
,"Other bacterial diseases","A30-A49","2021","2021","Nebraska","31",1308,1963692,66.6,63.0,70.2,55.5,52.5,58.7
,"Other bacterial diseases","A30-A49","2021","2021","Nevada","32",2626,3143991,83.5,80.3,86.7,71.9,69.1,74.8
,"Other bacterial diseases","A30-A49","2021","2021","New Hampshire","33",726,1388992,52.3,48.5,56.1,38.9,36.0,42.0
,"Other bacterial diseases","A30-A49","2021","2021","New Jersey","34",7762,9267130,83.8,81.9,85.6,66.4,64.9,67.9
,"Other bacterial diseases","A30-A49","2021","2021","New Mexico","35",1706,2115877,80.6,76.8,84.5,66.1,62.9,69.5
,"Other bacterial diseases","A30-A49","2021","2021","New York","36",12996,19835913,65.5,64.4,66.6,50.3,49.5,51.2
,"Other bacterial diseases","A30-A49","2021","2021","North Carolina","37",8736,10551162,82.8,81.1,84.5,68.5,67.0,70.0
,"Other bacterial diseases","A30-A49","2021","2021","North Dakota","38",526,774948,67.9,62.1,73.7,58.5,53.5,63.9
,"Other bacterial diseases","A30-A49","2021","2021","Ohio","39",9996,11780017,84.9,83.2,86.5,66.6,65.3,67.9
,"Other bacterial diseases","A30-A49","2021","2021","Oklahoma","40",4312,3986639,108.2,104.9,111.4,92.2,89.4,95.1
,"Other bacterial diseases","A30-A49","2021","2021","Oregon","41",2143,4246155,50.5,48.3,52.6,39.6,37.9,41.4
,"Other bacterial diseases","A30-A49","2021","2021","Pennsylvania","42",11410,12964056,88.0,86.4,89.6,64.1,62.9,65.3
,"Other bacterial diseases","A30-A49","2021","2021","Rhode Island","44",597,1095610,54.5,50.1,58.9,40.5,37.2,44.0
,"Other bacterial diseases","A30-A49","2021","2021","South Carolina","45",4983,5190705,96.0,93.3,98.7,76.3,74.1,78.5
,"Other bacterial diseases","A30-A49","2021","2021","South Dakota","46",691,895376,77.2,71.4,82.9,64.7,59.8,69.9
,"Other bacterial diseases","A30-A49","2021","2021","Tennessee","47",7295,6975218,104.6,102.2,107.0,86.8,84.8,88.9
,"Other bacterial diseases","A30-A49","2021","2021","Texas","48",23613,29527941,80.0,78.9,81.0,80.8,79.7,81.8
,"Other bacterial diseases","A30-A49","2021","2021","Utah","49",1531,3337975,45.9,43.6,48.2,53.1,50.4,55.9
,"Other bacterial diseases","A30-A49","2021","2021","Vermont","50",339,645570,52.5,46.9,58.1,38.0,34.0,42.7
,"Other bacterial diseases","A30-A49","2021","2021","Virginia","51",5643,8642274,65.3,63.6,67.0,55.1,53.6,56.5
,"Other bacterial diseases","A30-A49","2021","2021","Washington","53",4990,7738692,64.5,62.7,66.3,56.3,54.7,57.9
,"Other bacterial diseases","A30-A49","2021","2021","West Virginia","54",2621,1782959,147.0,141.4,152.6,104.8,100.6,109.1
,"Other bacterial diseases","A30-A49","2021","2021","Wisconsin","55",3493,5895908,59.2,57.3,61.2,46.8,45.2,48.4
,"Other bacterial diseases","A30-A49","2021","2021","Wyoming","56",418,578803,72.2,65.3,79.1,60.0,54.2,66.3
"Total","Other bacterial diseases","A30-A49","2021","2021",,,260946,331893745,78.6,78.3,78.9,64.6,64.4,64.9
,"Other bacterial diseases","A30-A49","2022","2022","Alabama","01",4717,5074296,93.0,90.3,95.6,72.3,70.2,74.5
