"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","State","State Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Other bacterial diseases","A30-A49","2014","2014","South Dakota","46",460,853175,53.9,44.7
,"Other bacterial diseases","A30-A49","2014","2014","Tennessee","47",4466,6549352,68.2,60.0
,"Other bacterial diseases","A30-A49","2014","2014","Texas","48",16029,26956958,59.5,64.5
,"Other bacterial diseases","A30-A49","2014","2014","Utah","49",899,2942902,30.5,38.5
,"Other bacterial diseases","A30-A49","2014","2014","Vermont","50",246,626562,39.3,30.3
,"Other bacterial diseases","A30-A49","2014","2014","Virginia","51",4833,8326289,58.0,54.4
,"Other bacterial diseases","A30-A49","2014","2014","Washington","53",3546,7061530,50.2,45.6
,"Other bacterial diseases","A30-A49","2014","2014","West Virginia","54",1635,1850326,88.4,66.5
,"Other bacterial diseases","A30-A49","2014","2014","Wisconsin","55",2446,5757564,42.5,34.7
,"Other bacterial diseases","A30-A49","2014","2014","Wyoming","56",261,584153,44.7,41.1
"Total","Other bacterial diseases","A30-A49","2014","2014",,,182242,318857056,57.2,50.0
,"Other bacterial diseases","A30-A49","2015","2015","Alabama","01",3506,4858979,72.2,61.2
,"Other bacterial diseases","A30-A49","2015","2015","Alaska","02",213,738432,28.8,38.9
,"Other bacterial diseases","A30-A49","2015","2015","Arizona","04",3413,6828065,50.0,41.6
,"Other bacterial diseases","A30-A49","2015","2015","Arkansas","05",2417,2978204,81.2,68.1
,"Other bacterial diseases","A30-A49","2015","2015","California","06",21136,39144818,54.0,50.7
,"Other bacterial diseases","A30-A49","2015","2015","Colorado","08",2064,5456574,37.8,37.5
,"Other bacterial diseases","A30-A49","2015","2015","Connecticut","09",2391,3590886,66.6,51.4
,"Other bacterial diseases","A30-A49","2015","2015","Delaware","10",687,945934,72.6,58.0
,"Other bacterial diseases","A30-A49","2015","2015","District of Columbia","11",434,672228,64.6,68.0
