"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Residence State","Residence State Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
,"Influenza and pneumonia","J09-J18","2020","2020","North Carolina","37",8582,10600823,81.0,79.2,82.7,65.5,64.1,66.9
,"Influenza and pneumonia","J09-J18","2020","2020","North Dakota","38",939,765309,122.7,114.8,130.5,97.7,91.4,104.4
,"Influenza and pneumonia","J09-J18","2020","2020","Ohio","39",11290,11693217,96.6,94.8,98.3,73.0,71.6,74.4
,"Influenza and pneumonia","J09-J18","2020","2020","Oklahoma","40",4368,3980783,109.7,106.5,113.0,91.3,88.6,94.1
,"Influenza and pneumonia","J09-J18","2020","2020","Oregon","41",1769,4241507,41.7,39.8,43.7,31.9,30.4,33.4
,"Influenza and pneumonia","J09-J18","2020","2020","Pennsylvania","42",12105,12783254,94.7,93.0,96.4,65.2,64.0,66.4
,"Influenza and pneumonia","J09-J18","2020","2020","Rhode Island","44",1122,1057125,106.1,99.9,112.3,74.6,70.2,79.2
,"Influenza and pneumonia","J09-J18","2020","2020","South Carolina","45",4997,5218040,95.8,93.1,98.4,74.3,72.2,76.5
,"Influenza and pneumonia","J09-J18","2020","2020","South Dakota","46",975,892717,109.2,102.4,116.1,83.7,78.4,89.3
,"Influenza and pneumonia","J09-J18","2020","2020","Tennessee","47",7583,6886834,110.1,107.6,112.6,89.2,87.2,91.3
,"Influenza and pneumonia","J09-J18","2020","2020","Texas","48",27976,29360759,95.3,94.2,96.4,95.4,94.3,96.6
,"Influenza and pneumonia","J09-J18","2020","2020","Utah","49",1425,3249879,43.8,41.6,46.1,50.4,47.8,53.1
,"Influenza and pneumonia","J09-J18","2020","2020","Vermont","50",267,623347,42.8,37.7,48.0,29.9,26.3,34.0
,"Influenza and pneumonia","J09-J18","2020","2020","Virginia","51",5200,8590563,60.5,58.9,62.2,50.2,48.8,51.6
,"Influenza and pneumonia","J09-J18","2020","2020","Washington","53",4333,7693612,56.3,54.6,58.0,48.2,46.7,49.6
,"Influenza and pneumonia","J09-J18","2020","2020","West Virginia","54",1925,1784787,107.9,103.0,112.7,74.9,71.5,78.5
,"Influenza and pneumonia","J09-J18","2020","2020","Wisconsin","55",3807,5832655,65.3,63.2,67.3,49.4,47.8,51.0
,"Influenza and pneumonia","J09-J18","2020","2020","Wyoming","56",452,582328,77.6,70.5,84.8,63.3,57.5,69.6
"Total","Influenza and pneumonia","J09-J18","2020","2020",,,311624,329484123,94.6,94.2,94.9,75.6,75.4,75.9
,"Influenza and pneumonia","J09-J18","2021","2021","Alabama","01",6262,5039877,124.2,121.2,127.3,100.7,98.1,103.3
,"Influenza and pneumonia","J09-J18","2021","2021","Alaska","02",647,732673,88.3,81.5,95.1,92.6,85.2,100.5
,"Influenza and pneumonia","J09-J18","2021","2021","Arizona","04",10904,7276316,149.9,147.0,152.7,119.7,117.4,122.0
,"Influenza and pneumonia","J09-J18","2021","2021","Arkansas","05",4312,3025891,142.5,138.3,146.8,116.4,112.9,120.0
,"Influenza and pneumonia","J09-J18","2021","2021","California","06",42494,39237836,108.3,107.3,109.3,95.4,94.5,96.4
,"Influenza and pneumonia","J09-J18","2021","2021","Colorado","08",4667,5812069,80.3,78.0,82.6,74.6,72.4,76.8
,"Influenza and pneumonia","J09-J18","2021","2021","Connecticut","09",2493,3605597,69.1,66.4,71.9,51.5,49.5,53.6
,"Influenza and pneumonia","J09-J18","2021","2021","Delaware","10",1016,1003384,101.3,95.0,107.5,74.8,70.1,79.8
,"Influenza and pneumonia","J09-J18","2021","2021","District of Columbia","11",572,670050,85.4,78.4,92.4,85.7,78.8,93.2
,"Influenza and pneumonia","J09-J18","2021","2021","Florida","12",34859,21781128,160.0,158.4,161.7,111.1,109.9,112.4
,"Influenza and pneumonia","J09-J18","2021","2021","Georgia","13",12837,10799566,118.9,116.8,120.9,110.6,108.6,112.5
,"Influenza and pneumonia","J09-J18","2021","2021","Hawaii","15",1041,1441553,72.2,67.8,76.6,52.0,48.8,55.5
,"Influenza and pneumonia","J09-J18","2021","2021","Idaho","16",1934,1900923,101.7,97.2,106.3,89.9,85.8,94.1
,"Influenza and pneumonia","J09-J18","2021","2021","Illinois","17",11601,12671469,91.6,89.9,93.2,75.4,74.1,76.9
,"Influenza and pneumonia","J09-J18","2021","2021","Indiana","18",8135,6805985,119.5,116.9,122.1,101.6,99.3,103.9
,"Influenza and pneumonia","J09-J18","2021","2021","Iowa","19",2689,3193079,84.2,81.0,87.4,65.3,62.8,67.9
,"Influenza and pneumonia","J09-J18","2021","2021","Kansas","20",3024,2934582,103.0,99.4,106.7,86.1,83.0,89.3
,"Influenza and pneumonia","J09-J18","2021","2021","Kentucky","21",7281,4509394,161.5,157.8,165.2,133.7,130.6,136.9
,"Influenza and pneumonia","J09-J18","2021","2021","Louisiana","22",5213,4624047,112.7,109.7,115.8,96.6,93.9,99.3
,"Influenza and pneumonia","J09-J18","2021","2021","Maine","23",1158,1372247,84.4,79.5,89.2,57.8,54.4,61.4
,"Influenza and pneumonia","J09-J18","2021","2021","Maryland","24",5153,6165129,83.6,81.3,85.9,70.1,68.2,72.1
,"Influenza and pneumonia","J09-J18","2021","2021","Massachusetts","25",5069,6984723,72.6,70.6,74.6,57.0,55.4,58.6
,"Influenza and pneumonia","J09-J18","2021","2021","Michigan","26",12388,10050811,123.3,121.1,125.4,97.2,95.5,99.0
,"Influenza and pneumonia","J09-J18","2021","2021","Minnesota","27",4081,5707390,71.5,69.3,73.7,58.7,56.9,60.6
,"Influenza and pneumonia","J09-J18","2021","2021","Mississippi","28",4816,2949965,163.3,158.6,167.9,138.4,134.4,142.5
,"Influenza and pneumonia","J09-J18","2021","2021","Missouri","29",6857,6168187,111.2,108.5,113.8,88.6,86.5,90.8
,"Influenza and pneumonia","J09-J18","2021","2021","Montana","30",1309,1104271,118.5,112.1,125.0,90.5,85.5,95.8
,"Influenza and pneumonia","J09-J18","2021","2021","Nebraska","31",1732,1963692,88.2,84.0,92.4,74.5,70.9,78.2
,"Influenza and pneumonia","J09-J18","2021","2021","Nevada","32",5187,3143991,165.0,160.5,169.5,142.8,138.8,146.8
,"Influenza and pneumonia","J09-J18","2021","2021","New Hampshire","33",964,1388992,69.4,65.0,73.8,51.8,48.5,55.4
,"Influenza and pneumonia","J09-J18","2021","2021","New Jersey","34",7989,9267130,86.2,84.3,88.1,68.3,66.8,69.9
,"Influenza and pneumonia","J09-J18","2021","2021","New Mexico","35",3170,2115877,149.8,144.6,155.0,123.9,119.4,128.4
,"Influenza and pneumonia","J09-J18","2021","2021","New York","36",19013,19835913,95.9,94.5,97.2,73.3,72.2,74.3
,"Influenza and pneumonia","J09-J18","2021","2021","North Carolina","37",13045,10551162,123.6,121.5,125.8,103.0,101.2,104.8
,"Influenza and pneumonia","J09-J18","2021","2021","North Dakota","38",745,774948,96.1,89.2,103.0,80.8,75.0,87.1
,"Influenza and pneumonia","J09-J18","2021","2021","Ohio","39",15572,11780017,132.2,130.1,134.3,104.7,103.0,106.4
,"Influenza and pneumonia","J09-J18","2021","2021","Oklahoma","40",5952,3986639,149.3,145.5,153.1,129.4,126.1,132.9
,"Influenza and pneumonia","J09-J18","2021","2021","Oregon","41",2924,4246155,68.9,66.4,71.4,54.8,52.8,56.8
,"Influenza and pneumonia","J09-J18","2021","2021","Pennsylvania","42",14926,12964056,115.1,113.3,117.0,84.1,82.7,85.5
,"Influenza and pneumonia","J09-J18","2021","2021","Rhode Island","44",915,1095610,83.5,78.1,88.9,62.3,58.2,66.6
,"Influenza and pneumonia","J09-J18","2021","2021","South Carolina","45",6218,5190705,119.8,116.8,122.8,95.1,92.7,97.6
,"Influenza and pneumonia","J09-J18","2021","2021","South Dakota","46",838,895376,93.6,87.3,99.9,77.6,72.3,83.3
,"Influenza and pneumonia","J09-J18","2021","2021","Tennessee","47",10543,6975218,151.1,148.3,154.0,126.2,123.7,128.7
,"Influenza and pneumonia","J09-J18","2021","2021","Texas","48",37909,29527941,128.4,127.1,129.7,129.8,128.5,131.2
,"Influenza and pneumonia","J09-J18","2021","2021","Utah","49",1993,3337975,59.7,57.1,62.3,70.2,67.1,73.5
,"Influenza and pneumonia","J09-J18","2021","2021","Vermont","50",316,645570,48.9,43.6,54.3,35.8,31.8,40.2
,"Influenza and pneumonia","J09-J18","2021","2021","Virginia","51",7202,8642274,83.3,81.4,85.3,70.9,69.2,72.6
,"Influenza and pneumonia","J09-J18","2021","2021","Washington","53",6116,7738692,79.0,77.1,81.0,69.0,67.3,70.8
,"Influenza and pneumonia","J09-J18","2021","2021","West Virginia","54",3511,1782959,196.9,190.4,203.4,140.2,135.5,145.1
