Disease,Model,Model Label,Projection Plausible,Minimum Projected AAMR,2025 Mean Predicted AAMR,2025/2019 Predicted Ratio,MAE,RMSE,MAPE (%),R-squared
Combined,anchored_quadratic_fourier_60,"Quadratic trend + Fourier seasonality, anchored 60% to recent seasonal mean",True,0.7,0.8416666666666667,0.918181818181818,0.05833333333333333,0.1,5.572390572390573,0.6247557003257329
Combined,log_anchored_quadratic_fourier_50,"Log-quadratic trend + Fourier seasonality, anchored 50% to recent seasonal mean",True,0.7,0.8416666666666667,0.918181818181818,0.05833333333333333,0.1,5.688131313131314,0.6247557003257329
Combined,log_anchored_quadratic_fourier_60,"Log-quadratic trend + Fourier seasonality, anchored 60% to recent seasonal mean",True,0.7,0.8583333333333334,0.9363636363636363,0.05833333333333333,0.1,5.572390572390573,0.6247557003257329
Combined,linear_fourier,Linear trend + Fourier seasonality,True,0.9,1.0916666666666666,1.1909090909090905,0.09583333333333331,0.12076147288491197,10.193602693602692,0.4527687296416941
Combined,linear_month_fe,Linear trend + month effects,True,0.9,1.0999999999999999,1.1999999999999995,0.11249999999999998,0.12416387021459446,11.9665404040404,0.4214983713355053
Combined,log_linear_month_fe,Log-linear trend + month effects,True,0.9,1.1166666666666667,1.218181818181818,0.12083333333333328,0.13693063937629146,12.761994949494945,0.29641693811074976
Pneumonia,log_recency_weighted_48_quadratic_month_fe,Log recency-weighted quadratic trend + month effects (48-month half-life),False,1.7,2.058333333333333,0.7138728323699421,0.12916666666666668,0.21698694277152555,3.798635841184946,0.8623559863980106
Pneumonia,log_recency_weighted_72_quadratic_month_fe,Log recency-weighted quadratic trend + month effects (72-month half-life),False,1.7,2.0749999999999997,0.7196531791907513,0.12499999999999999,0.21794494717703358,3.596754480586479,0.8611378977820638
Pneumonia,log_recency_weighted_60_quadratic_month_fe,Log recency-weighted quadratic trend + month effects (60-month half-life),False,1.7,2.0749999999999997,0.7196531791907513,0.125,0.2179449471770336,3.6332128139198137,0.8611378977820637
Pneumonia,log_quadratic_month_fe,Log-quadratic trend + month effects,False,1.7,2.0749999999999997,0.7196531791907513,0.1166666666666667,0.22360679774997902,3.3183979991049997,0.8538293660863827
