Outcome,Period,State,State Code,Deaths,Population,"Crude rate (/100,000)","AAMR (/100,000)"
Pneumonia,Pandemic (2020-2023),Georgia,13.0,32104.0,43451686.0,73.88435974613274,68.26882672630931
Pneumonia,Pandemic (2020-2023),Hawaii,15.0,3574.0,5723893.0,62.440021153435254,41.79317188493915
Pneumonia,Pandemic (2020-2023),Idaho,16.0,4523.0,7631595.0,59.266771887135,51.67342594831094
Pneumonia,Pandemic (2020-2023),Illinois,17.0,39309.0,50390720.0,78.00841107251495,62.5676783820513
Pneumonia,Pandemic (2020-2023),Indiana,18.0,24797.0,27256174.0,90.9775524620587,75.57487583180237
Pneumonia,Pandemic (2020-2023),Iowa,19.0,9011.0,12764161.0,70.59610106766908,52.768316006042234
Pneumonia,Pandemic (2020-2023),Kansas,20.0,9173.0,11726083.0,78.22731597584632,63.26847688183685
Pneumonia,Pandemic (2020-2023),Kentucky,21.0,20555.0,18025109.0,114.03537143658883,92.97321924655213
Pneumonia,Pandemic (2020-2023),Louisiana,22.0,14718.0,18433355.0,79.84439077964917,67.41490057561415
Pneumonia,Pandemic (2020-2023),Maine,23.0,3916.0,5503450.0,71.15536617939657,46.86917913308925
Pneumonia,Pandemic (2020-2023),Maryland,24.0,17306.0,24565844.0,70.44740656986994,57.60686846745424
Pneumonia,Pandemic (2020-2023),Massachusetts,25.0,19096.0,27861670.0,68.53860518770053,51.89808211783429
Pneumonia,Pandemic (2020-2023),Michigan,26.0,35117.0,40088740.0,87.5981634743322,67.26434835068402
Pneumonia,Pandemic (2020-2023),Minnesota,27.0,13442.0,22819831.0,58.904906000399386,46.9580227609924
Pneumonia,Pandemic (2020-2023),Mississippi,28.0,14269.0,11796498.0,120.95962717070779,100.2876724092184
Pneumonia,Pandemic (2020-2023),Missouri,29.0,20620.0,24693848.0,83.50257926589651,64.78956966933626
Pneumonia,Pandemic (2020-2023),Montana,30.0,3364.0,4440527.0,75.75677391444755,56.77360124147426
Pneumonia,Pandemic (2020-2023),Nebraska,31.0,5533.0,7847546.0,70.50611745378745,57.94466507109357
Pneumonia,Pandemic (2020-2023),Nevada,32.0,13674.0,12654198.0,108.05900144758284,92.36999432125211
Pneumonia,Pandemic (2020-2023),New Hampshire,33.0,3048.0,5552552.0,54.89367771792142,39.66061394832502
Pneumonia,Pandemic (2020-2023),New Jersey,34.0,29557.0,36702041.0,80.53230609164214,62.21093345735187
Pneumonia,Pandemic (2020-2023),New Mexico,35.0,8972.0,8449911.0,106.17863312406485,85.27575944882734
Pneumonia,Pandemic (2020-2023),New York,36.0,70506.0,78421056.0,89.90697600399567,67.12572409124407
Pneumonia,Pandemic (2020-2023),North Carolina,37.0,35935.0,42686449.0,84.18362464397075,69.04009586508356
Pneumonia,Pandemic (2020-2023),North Dakota,38.0,2562.0,3103444.0,82.5534470736382,67.22607557925969
Pneumonia,Pandemic (2020-2023),Ohio,39.0,42162.0,47015227.0,89.67732943201571,69.29314050105512
Pneumonia,Pandemic (2020-2023),Oklahoma,40.0,16888.0,16041046.0,105.27991753156248,89.76576041861608
Pneumonia,Pandemic (2020-2023),Oregon,41.0,8565.0,16961157.0,50.497734323195054,39.00858965576464
Pneumonia,Pandemic (2020-2023),Pennsylvania,42.0,42995.0,51681001.0,83.19304806035007,59.00328879659278
Pneumonia,Pandemic (2020-2023),Rhode Island,44.0,3031.0,4342431.0,69.79961224484626,50.4918235430799
Pneumonia,Pandemic (2020-2023),South Carolina,45.0,18063.0,21064934.0,85.74914120310085,66.96414716988907
Pneumonia,Pandemic (2020-2023),South Dakota,46.0,2920.0,3617235.0,80.72464188807197,64.60332262073102
Pneumonia,Pandemic (2020-2023),Tennessee,47.0,28745.0,28039880.0,102.51470405722137,84.5452563884011
Pneumonia,Pandemic (2020-2023),Texas,48.0,96555.0,119421573.0,80.85222592068855,81.45935844104147
Pneumonia,Pandemic (2020-2023),Utah,49.0,5618.0,13386388.0,41.96800511086336,48.947072294632434
Pneumonia,Pandemic (2020-2023),Vermont,50.0,1238.0,2563445.0,48.29438509505763,34.01168899664319
Pneumonia,Pandemic (2020-2023),Virginia,51.0,20625.0,34632154.0,59.55448223058837,49.480508812706255
Pneumonia,Pandemic (2020-2023),Washington,53.0,18112.0,31030970.0,58.36749544084507,50.01298408009805
Pneumonia,Pandemic (2020-2023),West Virginia,54.0,9790.0,7112973.0,137.63583806658622,96.14090548354393
Pneumonia,Pandemic (2020-2023),Wisconsin,55.0,13342.0,23532057.0,56.69712596735593,43.676300354873355
Pneumonia,Pandemic (2020-2023),Wyoming,56.0,1909.0,2326569.0,82.05215491137378,66.3647972185652
Pneumonia,Post-pandemic (2024-2025),Alabama,1.0,5132.0,10315398.0,49.75086758649545,38.6
Pneumonia,Post-pandemic (2024-2025),Alaska,2.0,390.0,1480266.0,26.346616081163788,27.25
Pneumonia,Post-pandemic (2024-2025),Arizona,4.0,6472.0,15164768.0,42.67787017908879,31.650000000000002
Pneumonia,Post-pandemic (2024-2025),Arkansas,5.0,3881.0,6176708.0,62.83282292120657,49.1
Pneumonia,Post-pandemic (2024-2025),California,6.0,34867.0,78862526.0,44.21238041500218,36.55
Pneumonia,Post-pandemic (2024-2025),Colorado,8.0,3430.0,11914986.0,28.78727679579313,25.799999999999997
Pneumonia,Post-pandemic (2024-2025),Connecticut,9.0,4158.0,7350138.0,56.57036643393634,39.95
Pneumonia,Post-pandemic (2024-2025),Delaware,10.0,1155.0,2103834.0,54.89976870798742,38.5
Pneumonia,Post-pandemic (2024-2025),District of Columbia,11.0,493.0,1404500.0,35.101459594161625,35.05
Pneumonia,Post-pandemic (2024-2025),Florida,12.0,24303.0,46744430.0,51.991221200044585,33.15
Pneumonia,Post-pandemic (2024-2025),Georgia,13.0,8192.0,22361756.0,36.633974541176464,32.8
Pneumonia,Post-pandemic (2024-2025),Hawaii,15.0,1502.0,2892292.0,51.93113281784827,32.4
Pneumonia,Post-pandemic (2024-2025),Idaho,16.0,1083.0,4003238.0,27.053100515133,22.95
Pneumonia,Post-pandemic (2024-2025),Illinois,17.0,10712.0,25420316.0,42.139523363910975,32.7
